policy,end_wealth,cagr_pct,max_dd_pct,MAR,worst_wk_pct,dd_recovered,avg_active_wt_pct,crash25,recover25,meltup26,crash26
R_above50_below0,1026661.0,114.6,-35.0,3.27,-22.4,2025-06-16,32.0,17.2,65.2,175.9,-32.4
R_above50_below10,1027890.0,114.7,-35.6,3.22,-22.4,2025-06-23,36.0,17.1,59.5,185.2,-32.4
R_above70_below30,1282322.0,134.4,-43.1,3.12,-23.6,2026-04-20,56.0,16.5,50.9,226.5,-34.5
S_static70_rebal,1238857.0,131.2,-43.1,3.04,-23.6,2026-04-20,70.0,14.3,30.0,266.6,-34.5
S_static50_rebal,1010058.0,113.2,-38.2,2.96,-22.4,2025-06-30,50.0,15.5,38.1,222.6,-32.4
D_dd15_30to60,806064.0,94.9,-32.3,2.94,-21.2,2025-06-23,43.0,15.0,32.2,182.6,-31.9
D_dd20_50to20,1036522.0,115.4,-39.2,2.94,-22.4,2025-06-23,36.0,19.9,55.2,222.8,-30.8
S_static40_rebal,893964.0,103.1,-36.0,2.86,-21.8,2025-06-23,40.0,16.1,42.1,200.3,-31.3
R_above30_below10,783940.0,92.8,-32.6,2.85,-21.2,2025-06-16,23.0,17.1,56.8,161.1,-30.3
S_static100_rebal,1526220.0,151.2,-54.6,2.77,-30.0,2026-04-20,100.0,11.8,17.8,328.6,-37.7
F_start30_skim25,875342.0,101.4,-36.6,2.77,-22.9,,41.0,15.1,41.6,220.9,-33.1
F_start15_skim50,769637.0,91.4,-33.2,2.75,-21.9,,29.0,15.3,45.2,197.7,-31.5
S_static30_rebal,780491.0,92.5,-33.9,2.73,-21.2,2025-06-23,30.0,16.5,46.0,178.2,-30.3
F_start15_skim25,767906.0,91.2,-33.5,2.72,-22.6,,30.0,15.7,46.6,204.4,-32.6
S_static50_drift,1001649.0,112.5,-41.9,2.68,-24.2,2025-09-15,59.0,14.3,34.7,253.8,-35.4
D_dd15_30to10,770386.0,91.5,-34.3,2.67,-21.2,2025-06-23,21.0,19.1,57.7,173.3,-29.2
S_static20_rebal,671992.0,81.4,-31.7,2.56,-20.6,2025-06-23,20.0,16.8,50.0,156.2,-29.2
S_static30_drift,791821.0,93.6,-36.8,2.54,-23.1,2025-06-30,39.0,15.4,43.0,209.3,-33.6
S_static20_drift,686907.0,82.9,-34.1,2.43,-22.3,2025-06-23,27.0,16.0,47.6,182.2,-32.1
V_target25_max60,679702.0,82.2,-34.5,2.38,-20.2,2025-06-23,36.0,15.0,35.5,138.8,-28.4
S_static10_rebal,570377.0,69.9,-29.6,2.36,-20.0,2025-06-09,10.0,17.1,53.8,134.7,-28.1
V_target35_max70,719570.0,86.3,-36.8,2.35,-20.5,2025-06-30,46.0,14.3,30.3,147.8,-28.9
S_static0_rebal,477078.0,58.3,-27.6,2.12,-19.4,2025-06-02,0.0,17.2,57.6,113.8,-26.9
R_above10_below50,560482.0,68.7,-32.4,2.12,-20.0,2025-06-30,24.0,15.5,33.1,165.5,-28.1
