dte,dist,end_equity,total_return,cagr,max_dd,n_harvests,harvest_mean_ret,peak_deploy
30,0.02,52632.40000000007,-0.4736759999999993,-0.13312361247253612,-0.7431097762582122,111,0.8193441960290103,0.5471973884573158
30,0.05,90717.99999999999,-0.09282000000000012,-0.021448900278037364,-0.7494869574038094,121,0.7950139057814952,0.5586371849414244
30,0.075,48177.39999999994,-0.5182260000000005,-0.15002137308564256,-0.8725319637890363,123,0.8218153235452106,0.45143671934521123
30,0.1,36692.99999999997,-0.6330700000000002,-0.2000074616578147,-0.8679983071356618,125,0.8528387318075811,0.48182820230191525
30,0.125,226471.59999999974,1.2647159999999973,0.1995494124263293,-0.7234018511571874,140,0.8827215054127134,0.5859782284248812
30,0.15,218821.8,1.188218,0.19041003504346588,-0.8554003305591561,150,0.9147853412422116,0.5842889963747708
60,0.02,66895.19999999998,-0.3310480000000001,-0.08559874885675978,-0.6074689846481915,68,0.7284464717886092,0.5369292965156627
60,0.05,86567.79999999996,-0.13432200000000039,-0.03159521314284264,-0.5489795046512378,79,0.6977067299147074,0.4902004088947224
60,0.075,139511.2,0.39511200000000013,0.07692821310920084,-0.4979142985728289,79,0.7195104821459484,0.45680599669673483
60,0.1,49372.000000000044,-0.5062799999999996,-0.14537489790855573,-0.6980829067549932,78,0.7174834679964914,0.49712145110410055
60,0.125,46781.40000000002,-0.5321859999999998,-0.1555661073287956,-0.7643089131103378,88,0.7179221598171069,0.5175531408112404
60,0.15,117445.20000000001,0.17445200000000005,0.03643906518706519,-0.6705006089202401,95,0.7368744004603492,0.6030216645720727
90,0.02,183751.80000000005,0.8375180000000004,0.14501733395252958,-0.47591960216378726,53,0.6558051853977503,0.5963921660699261
90,0.05,214968.2,1.1496820000000003,0.18571165354090136,-0.420966545057158,56,0.6821768651953093,0.6044501597879374
90,0.075,107051.40000000001,0.07051400000000019,0.015281791398051636,-0.6258014701008432,55,0.6993233941173745,0.5837098860595751
90,0.1,113903.60000000005,0.1390360000000006,0.029399553386931343,-0.5732253831045475,54,0.6899850741693251,0.6200875125983724
90,0.125,113756.39999999997,0.13756399999999958,0.029103306186983202,-0.5686965845197344,61,0.6782211779332786,0.6142043379983244
90,0.15,267394.0,1.67394,0.2447279227426331,-0.4792909536622969,70,0.6886790202269975,0.6822950402776428
120,0.02,309588.4,2.0958840000000003,0.28599039091416034,-0.3475822083469132,53,0.6656485792706905,0.609002702998297
120,0.05,333054.99999999994,2.3305499999999992,0.30707466949035545,-0.36149780860671166,56,0.6582364227915728,0.6331269926926202
120,0.075,508997.39999999997,4.089974,0.43647847385829697,-0.36479768477137986,63,0.6604917802014378,0.6369221533801901
120,0.1,241572.59999999998,1.4157259999999998,0.21690834369451117,-0.41720476840928844,64,0.6576433247394677,0.6671570479582185
120,0.125,414614.00000000006,3.146140000000001,0.37237807269324463,-0.47079189155592926,73,0.6592108058316445,0.688807861159195
120,0.15,236853.00000000003,1.3685300000000002,0.21157596336518902,-0.6856695264395507,74,0.6626516815834467,0.7678260651959767
150,0.02,208999.0,1.0899899999999998,0.1783029375791494,-0.3805376595415475,48,0.6228009007839704,0.6372803825761514
150,0.05,227728.6,1.2772860000000001,0.20102813394749397,-0.31423975124848347,48,0.6380759844445575,0.6058739043140637
150,0.075,200583.6,1.005836,0.16757347099213193,-0.41097400000000006,50,0.6426741782522449,0.664431189788198
150,0.1,264371.6,1.643716,0.24158254254888312,-0.432338,57,0.6435276824611449,0.7323653524054778
150,0.125,244394.80000000002,1.4439480000000002,0.22005838707922032,-0.5299119999999999,60,0.6343971064315224,0.705249047852082
150,0.15,194147.6,0.941476,0.15912897656581504,-0.546634,59,0.662773467476436,0.7033360185755579
180,0.02,140781.19999999998,0.40781199999999984,0.07910257498800499,-0.36362345792933093,37,0.6288501464628661,0.5879185609498905
180,0.05,124948.0,0.24947999999999992,0.05082352476535923,-0.3141937791749856,38,0.6382580115658759,0.607046815446785
180,0.075,99091.0,-0.009090000000000042,-0.0020304188606187212,-0.4048583068387368,39,0.6156147506952022,0.5990251385090473
180,0.1,53267.20000000001,-0.46732799999999985,-0.13080730510333582,-0.7262180603148578,38,0.6656625614793924,0.6270168519182502
180,0.125,54570.2,-0.454298,-0.12611925303575355,-0.7152930247514582,41,0.6526978288391944,0.7760026117127217
180,0.15,54419.6,-0.455804,-0.12665661836333475,-0.7101459422311234,45,0.6718917761369398,0.7627117613066092
