structure,entry_date,expiration,dte,spot_entry,exit_date,S_exit,exit_kind,k_lo,k_hi,width,width_pct,primary_delta,net,net_pct_width,max_loss_share,pnl_share,ror,win,move_pct,year
long_call,2022-01-03,2022-02-04,32,72.10000000000001,2022-02-04,43.46,expiry,80.0,80.0,,,0.3462,-3.2,,3.2,-3.2,-1.0,False,-0.39722607489597783,2022
long_call,2022-02-07,2022-03-11,32,43.41,2022-03-11,30.69,expiry,53.0,53.0,,,0.2911,-2.096,,2.096,-2.096,-1.0,False,-0.2930200414651001,2022
long_call,2022-03-14,2022-04-14,31,27.91,2022-04-14,25.610000000000003,expiry,36.0,36.0,,,0.2875,-1.508,,1.508,-1.508,-1.0,False,-0.08240773916159072,2022
long_call,2022-04-18,2022-05-20,32,26.98,2022-05-20,20.36,expiry,33.0,33.0,,,0.2946,-1.306,,1.306,-1.306,-1.0,False,-0.245366938472943,2022
long_call,2022-05-23,2022-06-24,32,20.630000000000003,2022-06-24,15.81,expiry,26.0,26.0,,,0.2869,-1.052,,1.052,-1.052,-1.0,False,-0.2336403296170626,2022
long_call,2022-06-27,2022-07-29,32,15.8,2022-07-29,19.83,expiry,19.0,19.0,,,0.3294,-0.9299999999999999,,0.9299999999999999,-0.10000000000000164,-0.10752688172043189,False,0.2550632911392403,2022
long_call,2022-08-01,2022-09-02,32,20.01,2022-09-02,12.86,expiry,24.0,24.0,,,0.3173,-1.054,,1.054,-1.054,-1.0,False,-0.35732133933033494,2022
long_call,2022-09-06,2022-10-07,31,12.42,2022-10-07,9.21,expiry,16.0,16.0,,,0.2725,-0.606,,0.606,-0.606,-1.0,False,-0.25845410628019316,2022
long_call,2022-10-10,2022-11-11,32,8.280000000000001,2022-11-11,13.22,expiry,11.0,11.0,,,0.2858,-0.472,,0.472,1.7480000000000007,3.7033898305084763,True,0.5966183574879225,2022
long_call,2022-11-14,2022-12-16,32,12.77,2022-12-16,11.11,expiry,16.0,16.0,,,0.2915,-0.642,,0.642,-0.642,-1.0,False,-0.12999216914643696,2022
long_call,2022-12-19,2023-01-20,32,10.69,2023-01-20,12.79,expiry,13.0,13.0,,,0.2869,-0.48,,0.48,-0.48,-1.0,False,0.19644527595883998,2022
long_call,2023-01-23,2023-02-24,32,14.74,2023-02-24,14.31,expiry,18.0,18.0,,,0.2597,-0.54,,0.54,-0.54,-1.0,False,-0.02917232021709637,2023
long_call,2023-02-27,2023-03-31,32,14.5,2023-03-31,18.3,expiry,17.0,17.0,,,0.3389,-0.8160000000000001,,0.8160000000000001,0.48400000000000065,0.5931372549019616,True,0.26206896551724146,2023
long_call,2023-04-03,2023-05-05,32,17.810000000000002,2023-05-05,14.47,expiry,21.0,21.0,,,0.2888,-0.706,,0.706,-0.706,-1.0,False,-0.1875350926445818,2023
long_call,2023-05-08,2023-06-09,32,14.65,2023-06-09,22.4,expiry,17.0,17.0,,,0.2748,-0.48,,0.48,4.919999999999998,10.249999999999996,True,0.5290102389078497,2023
long_call,2023-06-12,2023-07-14,32,24.6,2023-07-14,26.23,expiry,29.0,29.0,,,0.275,-0.872,,0.872,-0.872,-1.0,False,0.06626016260162593,2023
long_call,2023-07-17,2023-08-18,32,28.06,2023-08-18,20.15,expiry,32.0,32.0,,,0.3227,-1.184,,1.184,-1.184,-1.0,False,-0.28189593727726303,2023
long_call,2023-08-21,2023-09-22,32,21.880000000000003,2023-09-22,17.84,expiry,26.0,26.0,,,0.2897,-0.89,,0.89,-0.89,-1.0,False,-0.1846435100548447,2023
long_call,2023-09-25,2023-10-27,32,18.22,2023-10-27,15.1,expiry,21.0,21.0,,,0.2809,-0.6819999999999999,,0.6819999999999999,-0.6819999999999999,-1.0,False,-0.17124039517014267,2023
long_call,2023-10-30,2023-12-01,32,14.53,2023-12-01,23.07,expiry,17.0,17.0,,,0.3239,-0.712,,0.712,5.3580000000000005,7.525280898876406,True,0.5877494838265658,2023
long_call,2023-12-04,2024-01-05,32,22.31,2024-01-05,25.93,expiry,25.0,25.0,,,0.3133,-0.784,,0.784,0.14599999999999969,0.18622448979591796,True,0.16225907664724337,2023
long_call,2024-01-08,2024-02-09,32,28.43,2024-02-09,39.32,expiry,32.0,32.0,,,0.3202,-1.084,,1.084,6.236000000000001,5.752767527675277,True,0.38304607808652835,2024
long_call,2024-02-12,2024-03-15,32,39.15,2024-03-15,42.74,expiry,46.0,46.0,,,0.313,-1.782,,1.782,-1.782,-1.0,False,0.09169859514687118,2024
long_call,2024-03-18,2024-04-19,32,42.54,2024-04-19,30.790000000000003,expiry,52.0,52.0,,,0.2968,-2.05,,2.05,-2.05,-1.0,False,-0.276210625293841,2024
long_call,2024-04-22,2024-05-24,32,32.07,2024-05-24,51.440000000000005,expiry,39.0,39.0,,,0.2969,-1.566,,1.566,10.874000000000004,6.94380587484036,True,0.6039912690988465,2024
long_call,2024-05-28,2024-06-28,31,54.04,2024-06-28,55.36,expiry,65.0,65.0,,,0.2402,-1.568,,1.568,-1.568,-1.0,False,0.024426350851221246,2024
long_call,2024-07-01,2024-08-02,32,55.36,2024-08-02,29.34,expiry,65.0,65.0,,,0.3014,-2.52,,2.52,-2.52,-1.0,False,-0.47001445086705207,2024
long_call,2024-08-05,2024-09-06,32,27.89,2024-09-06,25.96,expiry,39.0,39.0,,,0.3024,-2.5,,2.5,-2.5,-1.0,False,-0.0692004302617425,2024
long_call,2024-09-09,2024-10-11,32,27.43,2024-10-11,38.67,expiry,34.0,34.0,,,0.2924,-1.42,,1.42,3.2500000000000018,2.2887323943661984,True,0.4097703244622677,2024
long_call,2024-10-14,2024-11-15,32,40.82,2024-11-15,26.66,expiry,49.0,49.0,,,0.2892,-1.766,,1.766,-1.766,-1.0,False,-0.34688878000979917,2024
long_call,2024-11-18,2024-12-20,32,27.67,2024-12-20,27.3,expiry,33.0,33.0,,,0.3017,-1.302,,1.302,-1.302,-1.0,False,-0.013371882905674037,2024
long_call,2024-12-23,2025-01-24,32,29.590000000000003,2025-01-24,32.65,expiry,35.0,35.0,,,0.28779,-1.196,,1.196,-1.196,-1.0,False,0.10341331530922582,2024
long_call,2025-01-27,2025-02-28,32,25.06,2025-02-28,22.73,expiry,31.0,31.0,,,0.3019,-1.334,,1.334,-1.334,-1.0,False,-0.09297685554668789,2025
long_call,2025-03-03,2025-04-04,32,20.51,2025-04-04,8.73,expiry,26.0,26.0,,,0.3315,-1.8119999999999998,,1.8119999999999998,-1.8119999999999998,-1.0,False,-0.5743539736713799,2025
long_call,2025-04-07,2025-05-09,32,9.15,2025-05-09,14.11,expiry,13.0,13.0,,,0.33,-0.8039999999999999,,0.8039999999999999,0.3059999999999995,0.3805970149253725,True,0.5420765027322403,2025
long_call,2025-05-12,2025-06-13,32,17.13,2025-06-13,20.04,expiry,20.0,20.0,,,0.332,-0.89,,0.89,-0.8500000000000009,-0.9550561797752819,False,0.16987740805604212,2025
long_call,2025-06-16,2025-07-18,32,21.9,2025-07-18,27.33,expiry,26.0,26.0,,,0.2773,-0.816,,0.816,0.5139999999999983,0.6299019607843117,True,0.24794520547945198,2025
long_call,2025-07-21,2025-08-22,32,27.5,2025-08-22,27.45,expiry,32.0,32.0,,,0.3118,-1.194,,1.194,-1.194,-1.0,False,-0.0018181818181818299,2025
long_call,2025-08-25,2025-09-26,32,27.3,2025-09-26,34.02,expiry,32.0,32.0,,,0.2666,-0.97,,0.97,1.0500000000000032,1.082474226804127,True,0.24615384615384617,2025
long_call,2025-09-29,2025-10-31,32,34.02,2025-10-31,47.78,expiry,40.0,40.0,,,0.2892,-1.3699999999999999,,1.3699999999999999,6.410000000000001,4.678832116788322,True,0.4044679600235155,2025
long_call,2025-11-03,2025-12-05,32,48.58,2025-12-05,46.5,expiry,59.0,59.0,,,0.3072,-2.77,,2.77,-2.77,-1.0,False,-0.04281597365170853,2025
long_call,2025-12-08,2026-01-09,32,47.99,2026-01-09,53.95,expiry,55.0,55.0,,,0.3565,-2.7840000000000003,,2.7840000000000003,-2.7840000000000003,-1.0,False,0.12419254011252345,2025
long_call,2026-01-12,2026-02-13,32,54.650000000000006,2026-02-13,64.59,expiry,65.0,65.0,,,0.2985,-2.56,,2.56,-2.56,-1.0,False,0.18188472095150954,2026
long_call,2026-02-17,2026-03-20,31,64.35000000000001,2026-03-20,51.14,expiry,81.0,81.0,,,0.315,-4.26,,4.26,-4.26,-1.0,False,-0.20528360528360534,2026
long_call,2026-03-23,2026-04-24,32,53.03,2026-04-24,128.32,expiry,66.0,66.0,,,0.30303,-3.096,,3.096,59.22399999999999,19.129198966408264,True,1.4197623986422778,2026
long_call,2026-04-27,2026-05-29,32,123.39,2026-05-29,224.34,expiry,160.0,160.0,,,0.2924,-7.180000000000001,,7.180000000000001,57.160000000000004,7.96100278551532,True,0.8181376124483346,2026
long_call,2026-06-01,2026-07-02,31,227.03,2026-07-02,181.47,expiry,320.0,320.0,,,0.2973,-16.68,,16.68,-16.68,-1.0,False,-0.20067832445051315,2026
