mny_b,dte_b,n_bars,n_traded,n_priced,n_stale,n_stale_moved,pct_traded,pct_stale_moved
10-20%,0-1,729772,242159,231609,496124,187825,33.18282970571631,25.737490613506683
10-20%,15-30,3147339,398747,378534,2740053,1347302,12.669337494308683,42.80765433910996
10-20%,2-3,690840,253586,242971,444746,159080,36.70690753285855,23.027039546059868
10-20%,31-60,2214637,213422,201245,1925143,1003525,9.636884058200057,45.3132951359523
10-20%,4-7,724652,253594,241845,478659,189726,34.995280493257454,26.181670650187954
10-20%,60+,1207972,103172,92710,1101259,628970,8.540926445314957,52.06825986032789
10-20%,8-14,1662711,375157,357503,1293333,547396,22.562970955265225,32.92189682993617
2-5%,0-1,236259,159868,155697,80469,18469,67.6664169407303,7.81726833686759
2-5%,15-30,1163728,183683,173321,977710,426774,15.78401482133282,36.6730026260432
2-5%,2-3,222398,142668,139082,83146,18181,64.14985746274697,8.174983587981906
2-5%,31-60,893705,98807,90457,761241,386485,11.055885331289408,43.24525430651054
2-5%,4-7,239039,134270,130404,108108,29999,56.17075037964516,12.549834964169026
2-5%,60+,432854,48322,42999,384154,205824,11.163579405527036,47.550444260651396
2-5%,8-14,559045,188394,181909,374352,121918,33.69925497947393,21.80826230446565
5-10%,0-1,389171,208439,202197,186562,52855,53.559746229806436,13.581433354489414
5-10%,15-30,1807150,251232,236976,1552180,721861,13.90211105884957,39.944719586088596
5-10%,2-3,368022,197270,191235,175955,49167,53.60277374722163,13.359799142442572
5-10%,31-60,1319792,132354,122359,1140811,591796,10.028398414295586,44.84009601512966
5-10%,4-7,388261,187169,180576,206319,67418,48.207005081633234,17.364092710831116
5-10%,60+,670942,63403,56012,607565,341657,9.44984812398091,50.921987295474125
5-10%,8-14,909896,262055,251641,652603,238254,28.800544238022805,26.184750784705066
>20%,0-1,1890990,231713,220959,1657830,968778,12.253528574979244,51.23125981628671
>20%,15-30,7244575,595311,567609,6587105,3802275,8.217335040357785,52.48444525731323
>20%,2-3,1859909,264890,255003,1587706,838749,14.242094640114113,45.09623857941437
>20%,31-60,5418356,423454,404402,4820496,2770377,7.815174934980278,51.129475434984336
>20%,4-7,1890368,261775,250736,1619593,906333,13.847832802925145,47.94479170193317
>20%,60+,5464990,340831,320676,5088118,3165731,6.236626233533822,57.927480196670075
>20%,8-14,4057772,427179,408117,3595582,2010399,10.527427366544991,49.544405156327166
ATM<2%,0-1,156572,126472,123351,33205,5967,80.775617607235,3.8110262371305215
ATM<2%,15-30,803655,168799,159517,635810,234024,21.003913370787217,29.119958191014803
ATM<2%,2-3,147423,115674,113395,34012,5590,78.4640117213732,3.7918099618105723
ATM<2%,31-60,649431,92867,85307,532141,226862,14.299748549114533,34.932425461673375
ATM<2%,4-7,158566,108804,105921,52526,12637,68.61748420216188,7.969552110792982
ATM<2%,60+,306790,44052,39630,262531,122146,14.359007790345187,39.814205156621796
ATM<2%,8-14,375489,163250,157864,216456,56443,43.4766397950406,15.031865114557284
