mny_b,dte_b,n_episodes,dur_med_min,dur_p90_min,uexc_med_%,uexc_p90_%,repmove_med_%,repmove_p90_%
ATM<2%,0-1,3444.0,10.0,45.0,1.5026682615280151,3.1137693300843243,15.542290687561035,34.23242062330246
ATM<2%,2-3,2981.0,10.0,40.0,1.4998557567596436,3.33796925842762,10.746269226074219,23.999999463558197
ATM<2%,4-7,5046.0,10.0,55.0,1.5429093837738037,3.3222831785678864,8.69565200805664,20.179463922977448
ATM<2%,8-14,16269.0,15.0,70.0,1.5119273662567139,3.188185766339303,7.647058963775635,17.33333319425583
ATM<2%,15-30,33768.0,25.0,105.0,1.621047019958496,3.4951720759272575,6.08695650100708,15.000000596046448
ATM<2%,31-60,20753.0,35.0,140.0,1.6937669515609741,3.842286020517348,4.395604610443115,12.523640394210794
ATM<2%,60+,10832.0,30.0,135.0,1.7227314710617065,3.9082163199782354,2.8556716442108154,6.86383306980133
2-5%,0-1,7291.0,10.0,50.0,1.5096065998077393,3.115609660744667,16.0,34.99999940395355
2-5%,2-3,6293.0,10.0,55.0,1.5234766006469727,3.2799803465604787,11.333333969116211,25.116539597511295
2-5%,4-7,9012.0,10.0,60.0,1.5447417497634888,3.285612128674984,9.154929161071777,21.153846383094788
2-5%,8-14,24275.0,15.0,75.0,1.54414963722229,3.272230029106143,8.227848052978516,18.561366200447086
2-5%,15-30,42982.0,30.0,120.0,1.6842387914657593,3.6186426505446443,6.6666669845581055,16.3532654941082
2-5%,31-60,24267.0,35.0,140.0,1.7617771625518799,3.9731741696596155,4.761904716491699,13.375368714332591
2-5%,60+,12839.0,35.0,150.0,1.7785682678222656,4.241084977984429,2.985074520111084,7.972158044576647
5-10%,0-1,14498.0,15.0,65.0,1.5271061658859253,3.2364821806550066,14.2131986618042,36.36363744735718
5-10%,2-3,11407.0,15.0,75.0,1.557863473892212,3.49500872194767,11.011236190795898,26.41509473323822
5-10%,4-7,15245.0,15.0,70.0,1.5588915348052979,3.4290236979722977,9.047618865966797,21.792115867137912
5-10%,8-14,36930.0,20.0,90.0,1.5718698501586914,3.416638821363449,8.241758346557617,19.64285671710968
5-10%,15-30,59108.0,30.0,130.0,1.705713152885437,3.7985913082957268,6.86274528503418,17.473202347755443
5-10%,31-60,33116.0,35.0,155.0,1.766784429550171,4.089061543345451,4.945645809173584,14.185624569654465
5-10%,60+,16835.0,35.0,160.0,1.8123667240142822,4.415704086422921,3.0732860565185547,8.601446002721786
10-20%,0-1,31059.0,15.0,85.0,1.5803972482681274,3.377089574933053,11.538461685180664,46.3690465688706
10-20%,2-3,23614.0,20.0,90.0,1.5709317922592163,3.4246575087308884,10.0,29.16666567325592
10-20%,4-7,28774.0,15.0,90.0,1.5968772172927856,3.5885166376829147,8.928571701049805,24.22482743859291
10-20%,8-14,62155.0,20.0,105.0,1.6149871349334717,3.544680029153823,8.333333969116211,21.666666865348816
10-20%,15-30,94821.0,30.0,130.0,1.7124394178390503,3.815113753080368,6.976744651794434,18.644067645072937
10-20%,31-60,53901.0,35.0,150.0,1.761705994606018,4.035178571939468,5.1094889640808105,14.864864945411682
10-20%,60+,27937.0,40.0,165.0,1.8366053104400635,4.376605078577995,3.1413609981536865,8.92134323716164
>20%,0-1,58628.0,25.0,120.0,1.8945878744125366,4.419109970331192,5.350004196166992,62.096922397613795
>20%,2-3,56626.0,25.0,120.0,1.7875738143920898,4.106440208852291,6.86274528503418,50.0
>20%,4-7,61148.0,25.0,120.0,1.8432505130767822,4.3448276817798615,8.403361320495605,40.00000059604645
>20%,8-14,114915.0,30.0,135.0,1.8551075458526611,4.324516430497171,8.333333969116211,33.33333432674408
>20%,15-30,175608.0,35.0,150.0,1.8850988149642944,4.453187324106693,7.142857551574707,25.0
>20%,31-60,125341.0,35.0,150.0,1.8935515880584717,4.49494943022728,5.357142925262451,18.26923042535782
>20%,60+,108254.0,40.0,165.0,2.0066888332366943,4.85080774873495,3.529412031173706,11.90476194024086
